year,state,category,count_thousands
1982,QLD,PIGS,812.3
1982,SA,PIGS,527.7
1982,WA,PIGS,407.9
1982,TAS,PIGS,77.2
1983,NSW,BULLS_BULLOCKS_STEERS,899.5
1983,VIC,BULLS_BULLOCKS_STEERS,840.4
1983,QLD,BULLS_BULLOCKS_STEERS,1306.0
1983,SA,BULLS_BULLOCKS_STEERS,275.9
1983,WA,BULLS_BULLOCKS_STEERS,348.0
1983,TAS,BULLS_BULLOCKS_STEERS,109.4
1983,NSW,COWS_HEIFERS,974.0
1983,VIC,COWS_HEIFERS,913.6
1983,QLD,COWS_HEIFERS,871.3
1983,SA,COWS_HEIFERS,262.7
1983,WA,COWS_HEIFERS,275.3
1983,TAS,COWS_HEIFERS,106.5
1983,NSW,CATTLE,1873.6
1983,VIC,CATTLE,1754.0
1983,QLD,CATTLE,2177.2
1983,SA,CATTLE,538.6
1983,WA,CATTLE,623.3
1983,TAS,CATTLE,215.9
1983,NSW,CALVES,363.0
1983,VIC,CALVES,913.1
1983,QLD,CALVES,276.6
1983,SA,CALVES,89.3
1983,WA,CALVES,35.9
1983,TAS,CALVES,59.6
1983,NSW,SHEEP,3044.5
1983,VIC,SHEEP,3650.8
1983,QLD,SHEEP,611.7
1983,SA,SHEEP,2137.9
1983,WA,SHEEP,3086.7
1983,TAS,SHEEP,563.3
1983,NSW,LAMBS,5919.1
1983,VIC,LAMBS,6390.0
1983,QLD,LAMBS,747.3
1983,SA,LAMBS,1934.2
1983,WA,LAMBS,988.8
1983,TAS,LAMBS,764.4
1983,NSW,PIGS,1085.0
1983,VIC,PIGS,1167.4
1983,QLD,PIGS,863.3
1983,SA,PIGS,540.2
1983,WA,PIGS,411.9
1983,TAS,PIGS,77.3
1984,NSW,BULLS_BULLOCKS_STEERS,748.7
1984,VIC,BULLS_BULLOCKS_STEERS,677.3
1984,QLD,BULLS_BULLOCKS_STEERS,1362.6
1984,SA,BULLS_BULLOCKS_STEERS,210.7
1984,WA,BULLS_BULLOCKS_STEERS,273.6
1984,TAS,BULLS_BULLOCKS_STEERS,80.4
1984,NSW,COWS_HEIFERS,642.7
1984,VIC,COWS_HEIFERS,543.3
1984,QLD,COWS_HEIFERS,815.2
1984,SA,COWS_HEIFERS,185.2
1984,WA,COWS_HEIFERS,222.8
1984,TAS,COWS_HEIFERS,73.2
1984,NSW,CATTLE,1391.4
1984,VIC,CATTLE,1220.6
1984,QLD,CATTLE,2177.7
1984,SA,CATTLE,395.9
1984,WA,CATTLE,496.5
1984,TAS,CATTLE,153.6
1984,NSW,CALVES,187.8
1984,VIC,CALVES,770.8
1984,QLD,CALVES,206.6
1984,SA,CALVES,50.5
1984,WA,CALVES,20.6
1984,TAS,CALVES,46.4
1984,NSW,SHEEP,1880.3
1984,VIC,SHEEP,2060.9
1984,QLD,SHEEP,427.8
1984,SA,SHEEP,1091.0
1984,WA,SHEEP,2485.2
1984,TAS,SHEEP,418.9
1984,NSW,LAMBS,6231.3
1984,VIC,LAMBS,6206.9
1984,QLD,LAMBS,882.2
1984,SA,LAMBS,1754.1
1984,WA,LAMBS,1039.8
1984,TAS,LAMBS,756.9
1984,NSW,PIGS,1105.7
1984,VIC,PIGS,1237.1
1984,QLD,PIGS,921.0
1984,SA,PIGS,550.5
1984,WA,PIGS,479.5
1984,TAS,PIGS,80.2
1985,NSW,BULLS_BULLOCKS_STEERS,663.4
1985,VIC,BULLS_BULLOCKS_STEERS,656.1
1985,QLD,BULLS_BULLOCKS_STEERS,1311.0
1985,SA,BULLS_BULLOCKS_STEERS,227.4
1985,WA,BULLS_BULLOCKS_STEERS,274.4
1985,TAS,BULLS_BULLOCKS_STEERS,83.4
1985,NSW,COWS_HEIFERS,644.8
1985,VIC,COWS_HEIFERS,590.6
1985,QLD,COWS_HEIFERS,781.2
1985,SA,COWS_HEIFERS,159.2
1985,WA,COWS_HEIFERS,223.3
1985,TAS,COWS_HEIFERS,63.7
1985,NSW,CATTLE,1308.1
1985,VIC,CATTLE,1246.7
1985,QLD,CATTLE,2092.2
1985,SA,CATTLE,386.6
1985,WA,CATTLE,497.7
1985,TAS,CATTLE,147.1
1985,NSW,CALVES,166.9
1985,VIC,CALVES,723.5
1985,QLD,CALVES,219.0
1985,SA,CALVES,46.8
1985,WA,CALVES,15.8
1985,TAS,CALVES,38.2
1985,NSW,SHEEP,2482.1
1985,VIC,SHEEP,3300.6
1985,QLD,SHEEP,376.5
1985,SA,SHEEP,1659.9
1985,WA,SHEEP,2292.8
1985,TAS,SHEEP,427.3
1985,NSW,LAMBS,5964.2
1985,VIC,LAMBS,6776.7
1985,QLD,LAMBS,848.5
1985,SA,LAMBS,1767.7
1985,WA,LAMBS,1152.2
1985,TAS,LAMBS,683.9
1985,NSW,PIGS,1065.1
1985,VIC,PIGS,1297.6
1985,QLD,PIGS,965.0
1985,SA,PIGS,589.4
1985,WA,PIGS,450.6
1985,TAS,PIGS,83.1
1986,NSW,BULLS_BULLOCKS_STEERS,745.0
1986,VIC,BULLS_BULLOCKS_STEERS,649.5
1986,QLD,BULLS_BULLOCKS_STEERS,1327.5
1986,SA,BULLS_BULLOCKS_STEERS,233.8
1986,WA,BULLS_BULLOCKS_STEERS,253.2
1986,TAS,BULLS_BULLOCKS_STEERS,85.5
1986,NSW,COWS_HEIFERS,774.3
1986,VIC,COWS_HEIFERS,649.3
1986,QLD,COWS_HEIFERS,879.0
1986,SA,COWS_HEIFERS,156.9
1986,WA,COWS_HEIFERS,195.4
1986,TAS,COWS_HEIFERS,57.7
1986,NSW,CATTLE,1519.3
1986,VIC,CATTLE,1298.8
1986,QLD,CATTLE,2206.5
1986,SA,CATTLE,390.7
1986,WA,CATTLE,448.6
1986,TAS,CATTLE,143.2
1986,NSW,CALVES,192.6
1986,VIC,CALVES,745.7
1986,QLD,CALVES,221.6
1986,SA,CALVES,37.7
1986,WA,CALVES,13.1
1986,TAS,CALVES,32.2
1986,NSW,SHEEP,3128.5
1986,VIC,SHEEP,3863.1
1986,QLD,SHEEP,524.7
1986,SA,SHEEP,2026.4
1986,WA,SHEEP,2802.3
1986,TAS,SHEEP,466.6
1986,NSW,LAMBS,6356.6
1986,VIC,LAMBS,7987.1
1986,QLD,LAMBS,887.7
1986,SA,LAMBS,1829.8
1986,WA,LAMBS,1085.0
1986,TAS,LAMBS,665.7
1986,NSW,PIGS,1329.5
1986,VIC,PIGS,1020.0
1986,QLD,PIGS,1008.8
1986,SA,PIGS,588.4
1986,WA,PIGS,462.1
1986,TAS,PIGS,84.4
1987,NSW,BULLS_BULLOCKS_STEERS,818.6
1987,VIC,BULLS_BULLOCKS_STEERS,666.2
1987,QLD,BULLS_BULLOCKS_STEERS,1483.2
1987,SA,BULLS_BULLOCKS_STEERS,264.2
1987,WA,BULLS_BULLOCKS_STEERS,268.8
1987,TAS,BULLS_BULLOCKS_STEERS,103.9
1987,NSW,COWS_HEIFERS,892.2
1987,VIC,COWS_HEIFERS,708.2
1987,QLD,COWS_HEIFERS,971.3
1987,SA,COWS_HEIFERS,166.0
1987,WA,COWS_HEIFERS,200.8
1987,TAS,COWS_HEIFERS,68.9
1987,NSW,CATTLE,1710.8
1987,VIC,CATTLE,1374.4
1987,QLD,CATTLE,2454.5
1987,SA,CATTLE,430.2
1987,WA,CATTLE,469.6
1987,TAS,CATTLE,172.7
1987,NSW,CALVES,225.4
1987,VIC,CALVES,706.6
1987,QLD,CALVES,208.6
1987,SA,CALVES,31.4
1987,WA,CALVES,12.5
1987,TAS,CALVES,32.2
1987,NSW,SHEEP,4247.8
1987,VIC,SHEEP,3857.1
1987,QLD,SHEEP,700.8
1987,SA,SHEEP,2121.9
1987,WA,SHEEP,3043.1
1987,TAS,SHEEP,509.7
1987,NSW,LAMBS,5296.2
1987,VIC,LAMBS,7543.0
1987,QLD,LAMBS,841.1
1987,SA,LAMBS,1886.9
1987,WA,LAMBS,1167.9
1987,TAS,LAMBS,670.6
1987,NSW,PIGS,1509.1
1987,VIC,PIGS,848.8
1987,QLD,PIGS,1075.4
1987,SA,PIGS,642.5
1987,WA,PIGS,502.4
1987,TAS,PIGS,89.6
1988,NSW,BULLS_BULLOCKS_STEERS,988.9
1988,VIC,BULLS_BULLOCKS_STEERS,686.6
1988,QLD,BULLS_BULLOCKS_STEERS,1478.8
1988,SA,BULLS_BULLOCKS_STEERS,282.7
1988,WA,BULLS_BULLOCKS_STEERS,277.2
1988,TAS,BULLS_BULLOCKS_STEERS,105.1
1988,NSW,COWS_HEIFERS,858.4
1988,VIC,COWS_HEIFERS,649.7
1988,QLD,COWS_HEIFERS,1001.8
1988,SA,COWS_HEIFERS,142.2
1988,WA,COWS_HEIFERS,204.4
1988,TAS,COWS_HEIFERS,76.8
1988,NSW,CATTLE,1847.3
1988,VIC,CATTLE,1336.3
1988,QLD,CATTLE,2480.6
1988,SA,CATTLE,424.9
1988,WA,CATTLE,481.7
1988,TAS,CATTLE,181.9
1988,NSW,CALVES,193.1
